Model,Station,RMSE,MAE,MAPE,R2
LSTM,Sector-1,21.317,15.306,7.149,0.9619
LSTM,Sector-62,23.913,16.4,8.306,0.9506
GRU,Sector-1,21.428,15.629,7.447,0.9615
GRU,Sector-62,24.143,17.338,8.585,0.9496
CNN-LSTM,Sector-1,20.947,15.239,7.13,0.9632
CNN-LSTM,Sector-62,23.334,15.966,8.332,0.9529
