roll_mean_aqi_7,roll_mean_aqi_30,roll_std_aqi_7,roll_trend_aqi_7,roll_trend_aqi_30,roll_aqi_momentum,roll_episode_flag,roll_mean_pm25_7,roll_mean_pm10_7,roll_std_pm25_7,lag_aqi_1,lag_aqi_7,lag_aqi_14,lag_aqi_30,lag_pm25_1,lag_pm25_7,lag_pm10_1,lag_co_1,lag_no2_1,lag_temperature_1,lag_wind_speed_1,pm25,pm10,co,no2,o3,so2,nh3,temperature,humidity,wind_speed,pressure,sin_month,cos_month,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,season_Winter,season_Monsoon,season_Summer,season_Spring,year,quarter,is_weekend,is_covid_lockdown,is_diwali,is_stubble_burning,aqi_saturated,station_encoded,station_season_mean_winter,interact_pm25_humidity,interact_pm25_pm10_ratio,interact_co_pm25,interact_pm10_wind_accum,interact_temp_o3,interact_lag_aqi1_winter,interact_wind_speed_sq,interact_pm25_stubble,station,aqi_actual,aqi_pred,season,month
22.617779299066715,22.61777929906667,22.61738389342515,22.619843303196266,22.61659308797429,22.61659308797426,22.61659308797429,22.617383893425195,22.61659308797441,-138.22677456534495,22.617383893424126,22.61659308797443,22.61738389342413,-138.22677515930283,22.618174706651715,-138.2267751593824,22.653782203757228,22.614220718265567,22.616593087973822,22.671536822966726,22.601324024027452,57.72473752088833,22.617383893421763,22.489454912166448,22.614220718267532,22.61738389342246,22.614220718267546,22.617383893422467,22.616593087976018,22.61112697679348,-138.22677491534736,22.637902586682806,22.614220718268026,22.61659308797482,22.61422071826867,22.616593087974834,22.61828768060601,-138.2267749150438,22.61422071826809,22.617383893423753,22.618016543384076,22.6142207182687,-138.2267749151208,22.614220718268697,22.61777929906817,22.614220718268093,22.616593087974547,22.617779299068015,22.487039267187736,-138.22677491513855,22.6142207182687,22.655907728659724,22.46093229782019,-138.2267749151092,22.617383893423163,22.61422071826515,22.614220718268175,22.617779299066072,22.617383893423955,noida_sector_1,379.0,379.97190830027074,Winter,1
22.60286605537389,22.60286605537389,22.602471117593392,22.60310301897424,22.601681247857385,22.601681247857336,22.601681247857346,22.602471117593435,22.6016812478575,-138.05136956824256,22.602471117592344,22.60168124785749,22.60247111759235,-138.05137015880308,22.60326099509546,-138.05137015985042,22.60837869568329,22.599311685239883,22.60168124785686,22.602471117590007,22.601681247856895,55.89372156921746,23.61836430467234,22.35388977430074,22.599311685241826,22.602471117590678,22.599311685241847,22.60247111759069,22.60168124785909,22.596228877438843,-138.05136991538353,22.601681247857908,22.5993116852424,22.601681247857904,22.59931168524241,22.601681247857886,22.603373835374114,-138.05136991720875,22.599311685242363,22.60247111759196,22.603103018973396,22.599311685242363,-138.05136991728568,22.59931168524236,22.602866055375326,22.59931168524237,22.601681247857886,22.60286605537532,22.47221242355716,-138.05136991730342,22.59931168524236,22.627041022539423,22.40629416742721,-138.0513699172741,22.602471117591378,22.599311685238806,22.59931168524544,22.60286605537399,22.602471117592362,noida_sector_1,379.0,379.547695138631,Winter,1
17.352264508407693,17.352264508407668,17.35196066972716,17.352446812333106,17.35135299684736,17.351352996847332,17.35135299684736,17.3519606697272,17.351352996847456,-106.24434587833181,17.351960669726367,17.35135299684746,17.35196066972628,-106.2443463380571,17.35256834858168,-106.24434633744914,17.382169360809424,17.349530014051993,17.351352996847115,17.351960669724626,17.351352996847087,21.78571406463573,17.35196066972462,17.34953001405196,17.3495300140535,17.35196066972517,17.349530014053517,17.351960669725166,17.351352996848718,17.351960669726125,-106.2443461611175,17.351352996847904,17.34953001405393,17.35135299684791,17.349530014053947,17.351352996847904,17.35265516033552,-106.24434616103753,17.349530014053936,17.35196066972615,17.352446812332545,17.349530014053936,-106.2443461610966,17.34953001405393,17.352264508408737,17.349530014053936,17.35135299684791,17.352264508408737,17.25196084008222,-106.24434616111023,17.34953001405393,17.35135299684779,17.18624632700337,-106.24434616108769,17.3519606697257,17.349530014051194,17.349530014052743,17.352264508407018,17.351960669726374,noida_sector_1,337.0,336.6764943440305,Winter,1
20.95914286482881,20.959142864828895,20.958776250726796,20.959362834155275,20.958043027930017,20.95804302792999,20.95804302793001,20.958776250726803,20.95804302793013,-128.17348318324034,20.958776250725784,20.958043027930117,20.958776250725784,-128.1734837368193,20.95950948073284,-128.17348373680792,20.95877625072366,20.95584340278911,20.958043027929577,20.958776250723666,20.958043027929573,40.37741110799843,22.386630537632513,20.7840535533196,20.955843402790983,20.958776250724316,20.955843402790958,20.958776250724497,20.958043027931627,20.9548462094111,-128.17348351615368,20.958043027930515,20.955843402791466,20.958043027930508,20.95584340279095,20.95804302793051,20.96031295923174,-128.17348351588404,20.955843402791494,20.958776250725673,20.959362834154533,20.95584340279093,-128.17348351595538,20.955843402790922,20.959142864830113,20.955843402791494,20.95804302793081,20.959142864830113,20.837990228387884,-128.17348351597187,20.955843402791494,21.001745542061382,20.74117185410219,-128.1734835159446,20.958776250724938,20.95584340278762,20.95584340279252,20.959142864828635,20.958776250725826,noida_sector_1,362.0,361.36214541192993,Winter,1
23.92326732258112,23.92326732258097,23.92940921607356,23.923518307596268,23.922012408611625,23.92201240861158,23.9220124086116,23.92284901586823,23.92201240861174,-146.23706822983596,23.92284901586711,23.922012408611728,23.92284901586708,-146.23706885900927,23.92368563135029,-146.23706885812643,23.96105179945916,23.919502636189634,23.92201240861141,23.922849015864582,23.922012408611412,68.69934409588939,30.53096178100938,23.813307165797262,23.919502636191744,23.92284901586531,23.919502636191748,23.922849015865314,23.902799178454,23.90368882994323,-146.2370685948073,23.922012408612172,23.91950263619234,23.922012408612154,23.91950263619236,23.922012408612478,23.923805148520763,-146.23706859497446,23.919502636192323,23.92284901586667,23.92351830759539,23.919502636192334,-146.23706859505594,23.919502636192327,23.923267322582554,23.919502636192327,23.922012408612158,23.923267322582713,23.784980957503883,-146.23706859507465,23.919502636191684,23.98171121524889,23.73109924771586,-146.2370685950436,23.922849015865822,23.92828820340136,23.919502636184177,23.923267322578713,23.92284901586713,noida_sector_1,399.0,398.66198966890937,Winter,1
22.21059455274733,22.210594552747445,22.210206466159423,22.21082740561622,22.20943029870738,22.209430298707353,22.209430298707375,22.210206466159267,22.209430298707503,-135.65668794821747,22.210206466158223,22.209430298707534,22.21020646615822,-135.65668853371494,22.22032202354226,-135.65668853397912,22.245939521346617,22.207101842133007,22.209430298706902,22.26447567175475,22.209430298706913,52.227937226509425,22.210206466155924,22.196450446022858,22.21624240755935,22.210206466156603,22.20710184213494,22.210206466156812,22.184982135489626,22.20406390774773,-135.65668829721545,22.20943029870762,22.207101842135437,22.20943029870762,22.20710184213487,22.209430298707918,22.21109352402217,-135.65668829666646,22.207101842135476,22.21020646615787,22.210827405615316,22.20710184213488,-135.65668829674206,22.207101842134872,22.21059455274872,22.20710184213547,22.20943029870793,22.210594552748862,22.082208407519772,-135.65668829675948,22.207101842134875,22.244110059214492,22.05009171528508,-135.65668829673064,22.210206466157285,22.211510102572433,22.20710184213549,22.21059455274682,22.210206466158457,noida_sector_1,374.0,374.776090848983,Winter,1
22.99225760069627,22.992257600696217,22.991855042801987,22.99249913638277,22.991049932951242,22.951634621288488,22.991049932951242,22.991855042802044,22.991049932951366,-140.7617157471412,22.991855042801156,22.991049932951377,22.99185504280115,-140.76171634730431,22.992660160569077,-140.76171634777913,22.994863464599923,22.988634650888287,22.991049932950716,22.99891746324908,22.96698774147712,40.25447591323751,47.49746147842546,22.988634650888272,23.014170712115423,22.991855042799287,22.988634650890315,22.991855042799298,22.98250274112871,22.988676195044878,-140.7617160979733,22.973287347752986,22.988634650890837,22.991049932951757,22.98863465089089,22.991049932951757,22.992775178040585,-140.76171609969023,22.98863465089083,22.991855042800587,22.99249913638202,22.98863465089084,-140.76171609976845,22.988634650890834,22.992257600697663,22.988634650890837,22.99104993295204,22.992257600697663,22.85935232200717,-140.76171609978653,22.988634650890834,23.039079961021613,22.507886546371928,-140.76171609975668,22.99185504280019,22.98863465088722,22.988634650887565,22.992257600694817,22.99185504280092,noida_sector_1,377.0,385.10472609961516,Winter,1
23.75001140771242,23.75001140771231,23.749596910276775,23.750260107152105,23.748767921519153,23.748767921519107,23.74876792151914,23.749596910276807,23.748767921519278,-144.86077233815357,23.74959691027567,23.748767921519303,23.74959691027567,-144.8607729585183,23.750425907185292,-144.86077295930642,23.79087128375005,23.74628100414268,23.74876792151861,23.74959691027316,23.74876792151861,70.19713991128152,24.817431265875854,23.643528186055864,23.746281004144798,23.749596910273883,23.746281004144844,23.749596910273905,23.748767921520944,23.743035513293556,-144.86077270123926,23.748815313575648,23.74628100414543,23.748767921519697,23.746281004145434,23.748767921519686,23.75054433598208,-144.86077269992467,23.74628100414543,23.749596910275248,23.750260107151245,23.746281004145434,-144.86077270000553,23.746281004145423,23.750011407713856,23.74628100414543,23.7487679215197,23.750011407713856,23.612727285151486,-144.86077270002414,23.746281004145434,23.794013913761976,23.599259082332157,-144.8607726999933,23.74959691027463,23.74628100414168,23.746281004143025,23.750011407710996,23.749596910275717,noida_sector_1,397.0,397.0187020398888,Winter,1
22.181234535288088,22.181234535288006,22.180846677809953,22.1814672506903,22.180070968573865,22.180070968573784,22.18007096857412,22.18084667781,22.180070968574242,-135.59284982290666,22.18084667780895,22.18007096857429,22.180846677808972,-135.5928504065431,22.193692673868448,-135.59285040638864,22.216514300951204,22.1777438866214,22.18007096857369,22.180846677806663,22.180070968573386,52.341127728715,22.715657636675644,22.167111994655496,22.177743886623333,22.180846677807338,22.17774388662336,22.18084667780734,22.156007909173137,22.174715367251654,-135.59285016893762,22.18007096857438,22.177743886623915,22.180070968574405,22.177743886623908,22.180070968574697,22.18173321199142,-135.59285016862654,22.177743886623915,22.180846677808606,22.181467250689504,22.17774388662392,-135.59285016870209,22.177743886623915,22.181234535289445,22.177743886623922,22.180070968574693,22.18123453528945,22.053017827520048,-135.59285016871945,22.17774388662392,22.209691891461826,21.988328635843953,-135.59285016869063,22.180846677808038,22.177743886620433,22.177743886624526,22.181234535287558,22.180846677808994,noida_sector_1,374.0,374.3648052050383,Winter,1
21.519406069128927,21.51940606912888,21.51903006205865,21.51963167425867,21.518278053463895,21.481392474340918,21.518278053463874,21.519030062058672,21.518278053463995,-131.43412604541308,21.51903006205765,21.518278053463977,21.51903006205765,-131.43412661437728,21.519782078047605,-131.43412661449503,21.553640908555696,21.51602207203585,21.51827805346341,21.532454331316764,21.49576020874707,45.60530965138496,21.519030062055418,21.26462248765754,21.516022072037675,21.51903006205609,21.51602207203773,21.519030062056093,21.493744416687743,21.513080412772513,-131.4341263868651,21.501655497047814,21.51602207203823,21.51827805346437,21.51602207203824,21.518278053464382,21.5198895095081,-131.43412638636224,21.51602207203825,21.519030062057322,21.519631674257887,21.51602207203824,-131.43412638643545,21.516022072038236,21.519406069130277,21.516022072038243,21.518278053464385,21.519406069130273,21.395015273412763,-131.4341263864523,21.51602207203825,21.53304631052718,21.370717680416757,-131.4341263864244,21.519030062056757,21.51602207203486,21.516022072039352,21.519406069128753,21.519030062057663,noida_sector_1,367.0,366.9909098972415,Winter,1
23.14496362506792,23.144963625067785,23.144558344597723,23.1452067943064,23.14374778963522,23.143747789635157,23.143747789635192,23.144558344597773,23.14374778963533,-141.71650913246407,23.144558344596675,23.143747789635356,23.144558344596696,-141.71650974615926,23.145368907529956,-141.71650974806732,23.147552210197556,23.141316172557676,23.143747789634716,23.17776919998369,23.128307859049112,55.49503915184846,32.4697628018039,23.141316172557648,23.141316172559694,23.14455834459498,23.141316172559687,23.144558344594987,23.143747789636663,23.12812752016961,-141.7165094959573,23.143747789635757,23.141316172560263,23.143747789635768,23.1413161725603,23.143747789635754,23.146248907856638,-141.71650949473892,23.1413161725603,23.1445583445963,23.145206794305537,23.141316172560302,-141.71650949481776,23.1413161725603,23.144963625069295,23.141316172560295,23.14374778963577,23.144963625069295,23.01117561408446,-141.71650949483595,23.1413161725603,23.19945389936898,22.917360852378934,-141.71650949480585,23.14455834459571,23.149780431681204,23.141316172556646,23.144963625066378,23.144558344596714,noida_sector_1,388.0,385.4958740828723,Winter,1
23.827153793484204,23.827153793484065,23.83331603075942,23.82740336050152,23.825905969439834,23.825905969439802,23.825905969439827,23.826737850090982,23.82590596943997,-145.37182181706473,23.826737850089856,23.825905969439948,23.826737850089856,-145.371822441565,23.837581989612346,-145.37182244243746,23.865045341423908,23.82341037655287,23.825905969439326,23.82673785008734,23.825905969439333,72.12540732971054,24.641660881303217,23.720286249815352,23.823410376555614,23.826737850088048,23.82341037655501,23.82673785008807,23.82051416556414,23.82015274277539,-145.37182218029216,23.825905969440377,23.823410376555533,23.825905969440363,23.82341037655621,23.825905969440377,23.827688580852374,-145.37182218085485,23.823410376556176,23.82673785008939,23.827403360500785,23.823410376556183,-145.3718221809359,23.823410376556183,23.827153793485426,23.82341037655619,23.825905969440367,23.82715379348543,23.689423662658385,-145.37182218095467,23.823410376556186,23.871315463070125,23.67298055278419,-145.37182218092371,23.826737850088776,23.82341037655243,23.82341037655319,23.827153793482697,23.826737850090094,noida_sector_1,398.0,398.46662816377074,Winter,1
23.614603236885394,23.614603236885394,23.620716871802376,23.61485062819797,23.61336629126935,23.613366291269312,23.613366291269006,23.614190919652845,23.613366291269465,-144.10930949295582,23.61419091965193,23.61336629126944,23.61419091965172,-144.10931011176697,23.624948312967486,-144.10931011212045,23.65219426252368,23.610892454758122,23.613366291268505,23.614190919649243,23.613366291268477,69.93813694978348,23.61419091964943,23.49656129148062,23.610892454760176,23.61419091964995,23.610892454760236,23.614190919650174,23.608017296484,23.6076580958514,-144.10930985571588,23.613366291269866,23.610892454760755,23.613366291269887,23.610892454760776,23.613366291269575,23.615133362020973,-144.10930985513897,23.610892454760755,23.614190919651296,23.6148506281971,23.610892454760762,-144.1093098552194,23.61089245476075,23.614603236886904,23.610892454760762,23.613366291269895,23.61460323688691,23.47810165262455,-144.10930985523788,23.610892454760755,23.658415248953037,23.500747578174348,-144.10930985520721,23.61419091965069,23.61089245475706,23.610892454764144,23.614603236885312,23.614190919651122,noida_sector_1,394.0,394.96724348446645,Winter,1
