station,feature,mean_abs_shap,mean_shap,category
Sector-62,quarter,35.8853,22.1288,Raw Pollutant/Meteo
Sector-62,is_weekend,35.891,22.1323,Event
Sector-62,is_covid_lockdown,35.8853,22.1288,Event
Sector-62,is_diwali,35.8891,22.1311,Event
Sector-62,is_stubble_burning,35.891,22.1323,Event
Sector-62,aqi_saturated,35.6835,22.0044,Raw Pollutant/Meteo
Sector-62,station_encoded,219.7934,-135.5431,Station
Sector-62,station_season_mean_winter,35.8853,22.1288,Station
Sector-62,interact_pm25_humidity,35.8575,22.1168,Interaction
Sector-62,interact_pm25_pm10_ratio,36.014,22.3973,Interaction
Sector-62,interact_co_pm25,219.7934,-135.5431,Interaction
Sector-62,interact_pm10_wind_accum,35.8584,22.0999,Interaction
Sector-62,interact_temp_o3,35.8852,22.1287,Interaction
Sector-62,interact_lag_aqi1_winter,35.8853,22.1288,Interaction
Sector-62,interact_wind_speed_sq,35.891,22.1323,Interaction
Sector-62,interact_pm25_stubble,35.8904,22.1319,Interaction
