season,feature,mean_abs_shap,category
Summer,lag_pm25_7,252.2715,Lag
Summer,lag_pm10_1,41.24,Lag
Summer,lag_co_1,41.1527,Lag
Summer,lag_no2_1,41.1966,Lag
Summer,lag_temperature_1,41.1663,Lag
Summer,lag_wind_speed_1,41.1691,Lag
Summer,pm25,190.4387,Raw Pollutant/Meteo
Summer,pm10,27.7378,Raw Pollutant/Meteo
Summer,co,41.1958,Raw Pollutant/Meteo
Summer,no2,41.1767,Raw Pollutant/Meteo
Summer,o3,41.1804,Raw Pollutant/Meteo
Summer,so2,41.1812,Raw Pollutant/Meteo
Summer,nh3,41.1904,Raw Pollutant/Meteo
Summer,temperature,41.2453,Raw Pollutant/Meteo
Summer,humidity,41.1865,Raw Pollutant/Meteo
Summer,wind_speed,252.2715,Raw Pollutant/Meteo
Summer,pressure,41.223,Raw Pollutant/Meteo
Summer,sin_month,41.1747,Cyclical
Summer,cos_month,41.179,Cyclical
Summer,sin_day_of_year,41.201,Cyclical
Summer,cos_day_of_year,41.1399,Cyclical
Summer,sin_day_of_week,41.1825,Cyclical
Summer,cos_day_of_week,252.2715,Cyclical
Summer,season_Winter,41.1747,Season
Summer,season_Monsoon,41.1804,Season
Summer,season_Summer,41.1816,Season
Summer,season_Spring,41.1747,Season
Summer,year,252.2715,Raw Pollutant/Meteo
Summer,quarter,41.1747,Raw Pollutant/Meteo
Summer,is_weekend,41.1812,Event
Summer,is_covid_lockdown,41.1747,Event
Summer,is_diwali,41.179,Event
Summer,is_stubble_burning,41.1812,Event
Summer,aqi_saturated,40.9431,Raw Pollutant/Meteo
Summer,station_encoded,252.2715,Station
Summer,station_season_mean_winter,41.1747,Station
Summer,interact_pm25_humidity,41.0527,Interaction
Summer,interact_pm25_pm10_ratio,42.1744,Interaction
Summer,interact_co_pm25,252.2715,Interaction
Summer,interact_pm10_wind_accum,41.1691,Interaction
Summer,interact_temp_o3,41.1769,Interaction
Summer,interact_lag_aqi1_winter,41.1747,Interaction
Summer,interact_wind_speed_sq,41.1812,Interaction
Summer,interact_pm25_stubble,41.1804,Interaction
Monsoon,roll_mean_aqi_7,41.4811,Rolling
Monsoon,roll_mean_aqi_30,41.8688,Rolling
Monsoon,roll_std_aqi_7,41.8211,Rolling
Monsoon,roll_trend_aqi_7,41.8222,Rolling
Monsoon,roll_trend_aqi_30,41.8206,Rolling
Monsoon,roll_aqi_momentum,41.8184,Rolling
Monsoon,roll_episode_flag,41.8206,Rolling
Monsoon,roll_mean_pm25_7,41.6401,Rolling
Monsoon,roll_mean_pm10_7,41.6537,Rolling
Monsoon,roll_std_pm25_7,256.1564,Rolling
Monsoon,lag_aqi_1,41.807,Lag
Monsoon,lag_aqi_7,41.7735,Lag
Monsoon,lag_aqi_14,41.8688,Lag
