feature,pearson_r_with_aqi,abs_r
lag_o3_14,-0.5321,0.5321
lag_humidity_7,0.5221,0.5221
lag_nh3_14,0.5131,0.5131
lag_nh3_7,0.5102,0.5102
lag_nh3_1,0.5042,0.5042
lag_nh3_3,0.5039,0.5039
lag_nh3_2,0.5022,0.5022
nh3,0.5019,0.5019
lag_nh3_30,0.5008,0.5008
lag_humidity_3,0.4751,0.4751
lag_o3_7,-0.4643,0.4643
lag_humidity_2,0.4628,0.4628
lag_humidity_1,0.4511,0.4511
humidity,0.4386,0.4386
lag_o3_3,-0.4225,0.4225
sin_month,0.4206,0.4206
season_Summer,-0.4175,0.4175
lag_o3_2,-0.4115,0.4115
lag_o3_1,-0.3994,0.3994
o3,-0.3893,0.3893
roll_trend_aqi_30,0.2718,0.2718
interact_pm25_stubble,0.269,0.269
sin_week_of_year,0.2537,0.2537
is_stubble_burning,0.2403,0.2403
season_Spring,0.2247,0.2247
roll_std_aqi_7,0.2068,0.2068
sin_day_of_year,0.1994,0.1994
year,-0.1869,0.1869
lag_so2_30,0.1784,0.1784
roll_std_aqi_14,0.1734,0.1734
lag_so2_14,0.1723,0.1723
lag_so2_7,0.171,0.171
lag_so2_3,0.1707,0.1707
so2,0.1705,0.1705
lag_so2_2,0.1695,0.1695
aqi_saturated,0.1691,0.1691
lag_so2_1,0.1689,0.1689
roll_std_aqi_3,0.1605,0.1605
interact_pm25_pm10_ratio,0.141,0.141
quarter,-0.1264,0.1264
is_covid_lockdown,-0.1249,0.1249
month,-0.1248,0.1248
day_of_year,-0.1228,0.1228
week_of_year,-0.1202,0.1202
is_diwali,0.1161,0.1161
roll_std_temperature_30,0.1148,0.1148
roll_std_wind_speed_30,-0.1062,0.1062
season_Post_Monsoon,0.1054,0.1054
roll_std_wind_speed_14,-0.0812,0.0812
roll_std_temperature_14,0.0619,0.0619
wind_direction,-0.0539,0.0539
roll_std_wind_speed_7,-0.0531,0.0531
roll_trend_aqi_7,0.0362,0.0362
roll_std_wind_speed_3,-0.0362,0.0362
station_season_mean_monsoon,0.0327,0.0327
station_std_aqi,0.0327,0.0327
station_mean_temp,0.0327,0.0327
station_season_mean_spring,0.0327,0.0327
station_encoded,-0.0327,0.0327
station_season_mean_post_monsoon,0.0327,0.0327
station_season_mean_summer,-0.0327,0.0327
