,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_30,lag_60
Sector-1,0.9664,0.9661,0.9643,0.9579,0.9332,0.8919,0.8209,0.462
Sector-62,0.9664,0.9661,0.9652,0.958,0.9325,0.8926,0.8193,0.4555
